Company,City,COUNTY,Zip,Geographic Market,Number of Employees Fulltime,Corporate Plus,Annual Sales 2020,Annual Sales 2021,Annual Sales 2022,Revenue Classification,Revenue Class,Primary Industry ,Primary NAICS,Primary Industry 
Company 1616,Los Angeles ,Los Angeles,90071,N,5,,0,0,0,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Financial Services Professional Services ",Other Activities Related to Real Estate,"Advertising, Entertainment, Media and Sports"
Company 1617,Los Angeles,Los Angeles,90042,R,1,,"202,202.00","522,971.00","562,062.00",up to $1M,Class 1,Consumer Products Food and Beverage Retail and Apparel ,Spice and Extract Manufacturing,Consumer Products
Company 1618,Palmdale,Los Angeles,93551,N,1,,0,0,0,up to $1M,Class 1,Food and Beverage ,Other Snack Food Manufacturing,Food and Beverage
Company 1619,Los Angeles,Los Angeles,90066,N,8,,"1,190,758.89","2,254,535.55","3,200,698.53",$1M to $10M,Class 2,Financial Services Food and Beverage Technology ,Administrative Management and General Management Consulting Services,Financial Services
Company 1620,EL MONTE,Los Angeles,91732,L,9,,"8,355,275.52","7,370,583.72",,$1M to $10M,Class 2,Manufacturing Suppliers ,Textile Bag and Canvas Mills,Manufacturing Suppliers
Company 1621,Hermosa Beach,Los Angeles,90254,L,36,,"5,751,139.00","4,561,063.00","4,502,629.96",$1M to $10M,Class 2,Professional Services Utilities ,Water and Sewer Line and Related Structures Construction,Professional Services
Company 1622,Los Angeles,Los Angeles,90066,N,2,,"309,135.00","274,505.00","321,376.00",up to $1M,Class 1,Automotive Food and Beverage Healthcare ,Advertising Agencies,Automotive
Company 1623,Los Angeles,Los Angeles,90066,N,42,,"3,338,539.00","4,122,034.00","5,662,421.00",$1M to $10M,Class 2,Automotive Food and Beverage Healthcare ,Advertising Agencies,Automotive
Company 1624,City of Industry,Los Angeles,91744,N,17,,"993,146.00","1,319,711.00","3,132,591.73",$1M to $10M,Class 2,Consumer Products Retail and Apparel ,All Other General Merchandise Retailers,Consumer Products
Company 1625,Los Angeles,Los Angeles,90028,N,1,,"58,000.00","87,000.00","91,000.00",up to $1M,Class 1,Food and Beverage ,Drugs and Druggists' Sundries Merchant Wholesalers,Food and Beverage
Company 1626,El Segundo,Los Angeles,90245,N,2,,"407,498.00","1,344,706.00",,$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports ",Advertising Agencies,"Advertising, Entertainment, Media and Sports"
Company 1627,Manhattan Beach,Los Angeles,90266,N,1,,0,0,0,up to $1M,Class 1,Healthcare ,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",Healthcare
Company 1628,Torrance,Los Angeles,90504,L,1,,"178,000.00","133,000.00","172,000.00",up to $1M,Class 1,Professional Services ,Offices of Real Estate Agents and Brokers,Professional Services
Company 1629,Rosemead ,Los Angeles,91770,N,2,,"598,958.00","791,338.00",,up to $1M,Class 1,Consumer Products Food and Beverage Transportation ,"Highway, Street, and Bridge Construction",Consumer Products
Company 1630,los angeles,Los Angeles,90043,R,1,,0,"100,000.00","130,000.00",up to $1M,Class 1,Transportation ,All Other Transit and Ground Passenger Transportation,Transportation
Company 1631,NORTH HOLLYWOOD,Los Angeles,91605,L,2,,"430,386.00","434,933.00",,up to $1M,Class 1,Utilities ,All Other Specialty Trade Contractors,Utilities
Company 1632,San Marino,Los Angeles,91108,I,5,,"710,000.00","1,250,000.00","1,500,000.00",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports ",Advertising Agencies,"Advertising, Entertainment, Media and Sports"
Company 1633,Los Angeles,Los Angeles,90068,N,11,,"564,509.00","2,632,394.00",,$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Consumer Products Professional Services ",Marketing Consulting Services,"Advertising, Entertainment, Media and Sports"
Company 1634,El Segundo,Los Angeles,90245,N,49,,"7,006,046.81","5,209,033.00","6,963,382.00",$1M to $10M,Class 2,Professional Services Technology ,All Other Support Services,Professional Services
Company 1635,LOS ANGELES,Los Angeles,90017,N,1,,"2,667.00","2,300.00","14,272.00",up to $1M,Class 1,"Advertising, Entertainment, Media and Sports ",Motion Picture and Video Production,"Advertising, Entertainment, Media and Sports"
Company 1636,Los Angeles,Los Angeles,90025,N,14,,"1,900,000.00","5,400,000.00","3,200,000.00",$1M to $10M,Class 2,Professional Services ,Educational Support Services,Professional Services
Company 1637,LOS ANGELES,Los Angeles,90057,N,5,,"200,000.00","250,000.00","300,000.00",up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Professional Services Technology ","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers","Advertising, Entertainment, Media and Sports"
Company 1638,Los Angeles,Los Angeles,90043,I,1,,0,"2,643.59","1,941.33",up to $1M,Class 1,Healthcare ,Administration of Public Health Programs,Healthcare
Company 1639,Arcadia,Los Angeles,91006,N,4,,2.6,1.9,2.55,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Consumer Products Retail and Apparel ",Other Services Related to Advertising,"Advertising, Entertainment, Media and Sports"
Company 1640,Tujunga,Los Angeles,91042,N,1,,"419,876.00","727,524.00","427,739.00",up to $1M,Class 1,Professional Services Technology ,Other Scientific and Technical Consulting Services,Professional Services
Company 1641,San Dimas,Los Angeles,91773,R,1,,0,0,0,up to $1M,Class 1,Food and Beverage Professional Services Retail and Apparel ,"Plumbing, Heating, and Air-Conditioning Contractors",Food and Beverage
Company 1642,Arcadia,Los Angeles,91006,L,1,,0,0,0,up to $1M,Class 1,Financial Services Healthcare Professional Services ,Stationery and Office Supplies Merchant Wholesalers,Financial Services
Company 1643,SAN FERNANDO,Los Angeles,91340,I,40,,"4,702,365.00","13,011,915.00","10,251,260.00",$10M to $50M,Class 3,Consumer Products Food and Beverage Retail and Apparel ,Tortilla Manufacturing,Consumer Products
Company 1644,Alhambra,Los Angeles,91801,N,1,,0,0,0,up to $1M,Class 1,Utilities ,Solar Electric Power Generation,Utilities
Company 1645,San Pedro,Los Angeles,90731,L,4,,"107,000.00","79,540.00","98,000.00",up to $1M,Class 1,Manufacturing Suppliers Professional Services ,Poured Concrete Foundation and Structure Contractors,Manufacturing Suppliers
Company 1646,Rowland Heights,Los Angeles,91748,N,2,,0,0,"700,000.00",up to $1M,Class 1,Consumer Products Food and Beverage ,Wholesale Trade Agents and Brokers,Consumer Products
Company 1647,Los Angeles,Los Angeles,90049,N,1,,0,0,"50,000.00",up to $1M,Class 1,"Advertising, Entertainment, Media and Sports ",Architectural Services,"Advertising, Entertainment, Media and Sports"
Company 1648,Whittier,Los Angeles,90603,N,11,,"1,149,682.57","1,541,210.18","1,563,395.00",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Consumer Products ",Motion Picture and Video Production,"Advertising, Entertainment, Media and Sports"
Company 1649,Pasadena ,Los Angeles,91107,N,1,,"141,000.00","170,000.00","123,000.00",up to $1M,Class 1,Consumer Products ,Food (Health) Supplement Retailers,Consumer Products
Company 1650,Cerritos ,Los Angeles,90703,N,143,,"21,000,000.00","18,200,000.00","18,400,000.00",$10M to $50M,Class 3,Professional Services ,Offices of Lawyers,Professional Services
Company 1651,Los Angeles,Los Angeles,90022,N,1,,"122,255.00","122,074.00",,up to $1M,Class 1,Financial Services ,Offices of Real Estate Appraisers,Financial Services
Company 1652,Alhambra,Los Angeles,91801,N,2,,"1,023.00","46,066.94","181,003.04",up to $1M,Class 1,Food and Beverage ,Roasted Nuts and Peanut Butter Manufacturing,Food and Beverage
Company 1653,Arcadia,Los Angeles,91006,L,3,,"238,088.00","260,987.00","287,577.00",up to $1M,Class 1,Professional Services ,Testing Laboratories and Services,Professional Services
Company 1654,San Dimas,Los Angeles,91773,N,15,,"251,177.14","876,096.41",,up to $1M,Class 1,Professional Services Technology Transportation ,Electrical Contractors and Other Wiring Installation Contractors,Professional Services
Company 1655,Valencia,Los Angeles,91355,N,3,,"1,234,546.18","2,223,373.34","2,965,018.05",$1M to $10M,Class 2,Consumer Products Food and Beverage Transportation ,"General Freight Trucking, Long-Distance, Truckload",Consumer Products
Company 1656,Valencia,Los Angeles,91355,N,3,,"1,262,922.00","3,888,612.00","3,672,020.00",$1M to $10M,Class 2,Consumer Products Food and Beverage Manufacturing Suppliers ,Freight Transportation Arrangement,Consumer Products
Company 1657,Beverly Hills,Los Angeles,90211,I,12,,"23,389,143.00","14,289,396.00","11,986,743.00",$10M to $50M,Class 3,"Advertising, Entertainment, Media and Sports Food and Beverage Retail and Apparel ",Apparel Accessories and Other Apparel Manufacturing,"Advertising, Entertainment, Media and Sports"
Company 1658,Los Angeles,Los Angeles,90027,N,2,,0,0,0,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports ",Motion Picture and Video Production,"Advertising, Entertainment, Media and Sports"
Company 1659,Los Angeles,Los Angeles,90066,N,1,,0,0,50,up to $1M,Class 1,Consumer Products Food and Beverage Retail and Apparel ,Beer and Ale Merchant Wholesalers,Consumer Products
Company 1660,Los Angeles,Los Angeles,90025,N,8,,"6,028,078.00","7,008,972.00","8,669,652.00",$1M to $10M,Class 2,Financial Services Petrochemical and Energy Technology ,Offices of Lawyers,Financial Services
Company 1661,Hacienda Heights,Los Angeles,91745,N,1,,"16,000.00","94,000.00","153,559.00",up to $1M,Class 1,Financial Services Professional Services Technology ,Human Resources Consulting Services,Financial Services
Company 1662,LONG BEACH,Los Angeles,90804,I,1,,"15,000.00","27,000.00","62,000.00",up to $1M,Class 1,Consumer Products Food and Beverage Retail and Apparel ,All Other Plastics Product Manufacturing,Consumer Products
Company 1663,Pasadena,Los Angeles,91107,N,1,,0,"39,112.00","116,630.00",up to $1M,Class 1,Consumer Products Retail and Apparel ,Toy and Hobby Goods and Supplies Merchant Wholesalers,Consumer Products
Company 1664,Playa del Rey,Los Angeles,90293,L,1,,"22,000.00","14,500.00",,up to $1M,Class 1,Financial Services Professional Services Technology ,Offices of Real Estate Appraisers,Financial Services
Company 1665,West hills,Los Angeles,91307,L,1,,"12,280.00","4,230.00","29,575.00",up to $1M,Class 1,Food and Beverage ,Food Service Contractors,Food and Beverage
Company 1666,La Puente ,Los Angeles,91744,N,1,,"130,000.00","13,040.19","96,251.15",up to $1M,Class 1,Financial Services Professional Services Technology ,Other Management Consulting Services,Financial Services
Company 1667,Glendale,Los Angeles,91208,I,1,,0,0,0,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports ",Administrative Management and General Management Consulting Services,"Advertising, Entertainment, Media and Sports"
Company 1668,GARDENA,Los Angeles,90248,N,49,,"3,266,807.00","2,953,325.00","3,677,504.00",$1M to $10M,Class 2,Professional Services Technology ,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Professional Services
Company 1669,Los Angeles,Los Angeles,90007,I,1,,"22,907.00","168,696.00",,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Professional Services Technology ",Administrative Management and General Management Consulting Services,"Advertising, Entertainment, Media and Sports"
Company 1670,Glendora,Los Angeles,91741,N,19,,"3,062,000.00","4,318,000.00","4,500,000.00",$1M to $10M,Class 2,Healthcare Professional Services ,Other Management Consulting Services,Healthcare
Company 1671,Los Angeles,Los Angeles,90048,N,1,,"2,413.00","19,000.00",225,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Consumer Products Professional Services ","Independent Artists, Writers, and Performers","Advertising, Entertainment, Media and Sports"
Company 1672,Los Angeles,Los Angeles,90019,N,2,,0,0,0,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports ",Motion Picture and Video Production,"Advertising, Entertainment, Media and Sports"
Company 1673,Venice,Los Angeles,90291,I,6,,0,0,"1,500,000.00",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports ",Advertising Agencies,"Advertising, Entertainment, Media and Sports"
Company 1674,Rowland Heights,Los Angeles,91748,L,1,,"11,750.00","23,631.00","37,162.00",up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Consumer Products Professional Services ","All Other Professional, Scientific, and Technical Services","Advertising, Entertainment, Media and Sports"
Company 1675,Los Angeles,Los Angeles,90016,N,12,,"890,537.00","2,300,328.00",,$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Consumer Products Professional Services ",Public Relations Agencies,"Advertising, Entertainment, Media and Sports"
Company 1676,Beverly Hills,Los Angeles,90210,N,5,,0,0,0,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Professional Services Technology ",Motion Picture and Video Production,"Advertising, Entertainment, Media and Sports"
Company 1677,Long Beach,Los Angeles,90815,R,1,,"37,748.00","41,115.00",,up to $1M,Class 1,Consumer Products Manufacturing Suppliers Professional Services ,Beauty Salons,Consumer Products
Company 1678,Los Angeles,Los Angeles,90026,R,3,,"199,000.00","292,000.00","700,000.00",up to $1M,Class 1,Food and Beverage ,Food Service Contractors,Food and Beverage
Company 1679,Glendora,Los Angeles,91741,R,1,,"1,242.00","33,869.00","32,781.00",up to $1M,Class 1,Financial Services Petrochemical and Energy Professional Services ,Interior Design Services,Financial Services
Company 1680,Los Angeles,Los Angeles,90008,L,1,,0,0,,up to $1M,Class 1,Consumer Products Retail and Apparel Technology ,Vending Machine Operators,Consumer Products
Company 1681,Los Angeles,Los Angeles,90045,R,3,,"892,711.00","896,001.00","965,421.00",up to $1M,Class 1,Automotive Transportation Utilities ,Petroleum Lubricating Oil and Grease Manufacturing,Automotive
Company 1682,LOS ANGELES,Los Angeles,90028,N,1,,0,0,0,up to $1M,Class 1,Retail and Apparel ,Clothing and Clothing Accessories Retailers,Retail and Apparel
Company 1683,Santa Monica,Los Angeles,90401,N,2,,0,0,"18,508.00",up to $1M,Class 1,Consumer Products Food and Beverage ,Industrial and Personal Service Paper Merchant Wholesalers,Consumer Products
Company 1684,Glendale,Los Angeles,91201,R,2,,"234,838.76","356,831.74","428,176.57",up to $1M,Class 1,Food and Beverage ,Breweries,Food and Beverage
Company 1685,Long Beach,Los Angeles,90802,L,13,,"569,325.00","1,196,044.00","1,556,923.00",$1M to $10M,Class 2,Food and Beverage Manufacturing Suppliers Professional Services ,Electrical Contractors and Other Wiring Installation Contractors,Food and Beverage
Company 1686,LOS ANGELES,Los Angeles,90024,N,1,,0,0,0,up to $1M,Class 1,Petrochemical and Energy ,Fuel Dealers,Petrochemical and Energy
Company 1687,LOS ANGELES,Los Angeles,90065,I,1,,"153,103.00","413,314.00","683,921.00",up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Professional Services ",Motion picture or video postproduction services,"Advertising, Entertainment, Media and Sports"
Company 1688,Los Angeles,Los Angeles,90015,N,25,,"1,037,601.33","1,427,462.60","1,973,892.49",$1M to $10M,Class 2,Healthcare Professional Services ,Professional and Management Development Training,Healthcare
Company 1689,Los Angeles ,Los Angeles,90046,L,3,,"283,000.00","148,000.00","467,000.00",up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Technology Transportation ",All Other Travel Arrangement and Reservation Services,"Advertising, Entertainment, Media and Sports"
Company 1690,CANYON COUNTRY,Los Angeles,91387,I,2,,"4,000.00","3,000.00","2,500.00",up to $1M,Class 1,Food and Beverage ,Spice and Extract Manufacturing,Food and Beverage
Company 1691,Covina,Los Angeles,91722,R,2,,"530,000.00","580,000.00","615,000.00",up to $1M,Class 1,Food and Beverage Healthcare Professional Services ,Water and Sewer Line and Related Structures Construction,Food and Beverage
Company 1692,Gardena,Los Angeles,90249,L,7,,"3,757,742.00","2,171,199.00","1,922,749.54",$1M to $10M,Class 2,Manufacturing Suppliers Professional Services ,Glass and Glazing Contractors,Manufacturing Suppliers
Company 1693,Inglewood,Los Angeles,90305,L,1,,0,0,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Consumer Products Retail and Apparel ",Book Retailers and News Dealers,"Advertising, Entertainment, Media and Sports"
Company 1694,Los Angeles,Los Angeles,90045,N,12,,"539,957.95","1,128,021.82",,$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Consumer Products Technology ",Marketing Consulting Services,"Advertising, Entertainment, Media and Sports"
Company 1695,Paramount,Los Angeles,90723,I,6,,"96,606.81","604,632.41","1,013,815.72",$1M to $10M,Class 2,Automotive ,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,Automotive
Company 1696,Long Baach ,Los Angeles,90802,L,1,,0,0,"234,412.00",up to $1M,Class 1,Professional Services ,Engineering Services,Professional Services
Company 1697,Glendale,Los Angeles,91202,N,1,,0,0,168,up to $1M,Class 1,Professional Services ,Professional and Management Development Training,Professional Services
Company 1698,San Marino,Los Angeles,91108,R,2,,0,"174,100.00","351,793.00",up to $1M,Class 1,Financial Services Professional Services ,Offices of Real Estate Appraisers,Financial Services
Company 1699,LANCASTER,Los Angeles,93535,I,1,,"32,780.00","108,347.00","75,077.00",up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Professional Services Technology ",Marketing Consulting Services,"Advertising, Entertainment, Media and Sports"
Company 1700,Santa Monica,Los Angeles,90403,N,1,,0,0,0,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Professional Services Technology ",Marketing Consulting Services,"Advertising, Entertainment, Media and Sports"
Company 1701,Long Beach,Los Angeles,90802,R,63,,"33,643,176.00","42,565,334.00","47,075,952.00",$10M to $50M,Class 3,Consumer Products Retail and Apparel ,"General Freight Trucking, Long-Distance, Truckload",Consumer Products
Company 1702,Los Angeles,Los Angeles,90048,I,1,,0,0,"200,000.00",up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Healthcare Technology ",Marketing Consulting Services,"Advertising, Entertainment, Media and Sports"
Company 1703,Los Angeles,Los Angeles,90027,N,5,,"906,000.00","1,396,000.00","1,395,000.00",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Consumer Products ",Advertising Agencies,"Advertising, Entertainment, Media and Sports"
Company 1704,Woodland Hills,Los Angeles,91364,N,1,,"2,500.00","164,400.00","271,153.00",up to $1M,Class 1,Professional Services ,Lessors of Other Real Estate Property,Professional Services
Company 1705,Santa Fe Springs,Los Angeles,90670,N,50,,"4,570,247.00","6,108,253.00",,$1M to $10M,Class 2,Healthcare Manufacturing Suppliers Professional Services ,Janitorial Services,Healthcare
Company 1706,Whittier,Los Angeles,90602,R,5,,"3,865,125.00","3,426,796.00","3,323,103.00",$1M to $10M,Class 2,Healthcare Manufacturing Suppliers ,Industrial Building Construction,Healthcare
Company 1707,Pasadena,Los Angeles,91105,N,3,,0,0,0,up to $1M,Class 1,Healthcare Professional Services ,Offices of Physicians (except Mental Health Specialists),Healthcare
Company 1708,Saugus,Los Angeles,91350,N,2,,0,0,0,up to $1M,Class 1,Technology ,Computer Systems Design Services,Technology
Company 1709,ENCINO,Los Angeles,91436,N,1,,0,0,538,up to $1M,Class 1,Consumer Products Retail and Apparel ,Clothing and Clothing Accessories Retailers,Consumer Products
Company 1710,Torrance,Los Angeles,90504,R,1,,0,0,,up to $1M,Class 1,Manufacturing Suppliers ,Electrical Contractors and Other Wiring Installation Contractors,Manufacturing Suppliers
Company 1711,Agoura Hills,Los Angeles,91301,N,2,,"27,091.00","97,381.00",,up to $1M,Class 1,Consumer Products Professional Services Retail and Apparel ,Educational Support Services,Consumer Products
Company 1712,La Verne,Los Angeles,91750,I,1,,"276,533.00","1,385,227.00",,$1M to $10M,Class 2,Consumer Products ,Home Furnishing Merchant Wholesalers,Consumer Products
Company 1713,Los Angeles,Los Angeles,90045,N,1,,"381,823.00","1,148,852.00","1,615,736.00",$1M to $10M,Class 2,Consumer Products Retail and Apparel Transportation ,"General Freight Trucking, Local",Consumer Products
Company 1714,Los Angeles,Los Angeles,90045,R,2,,"571,729.00","631,868.00","537,995.00",up to $1M,Class 1,Healthcare Professional Services ,"Offices of Physicians, Mental Health Specialists",Healthcare
Company 1715,Studio City,Los Angeles,91604,I,5,,0,0,"10,000.00",up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Technology ",Motion Picture and Video Production,"Advertising, Entertainment, Media and Sports"
Company 1716,Sherman Oaks ,Los Angeles,91423,N,31,,"4,546,026.00","11,442,210.00","11,798,148.92",$10M to $50M,Class 3,Professional Services ,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",Professional Services
Company 1717,Burbank,Los Angeles,91505,N,2,,"427,565.00","1,787,423.00","1,942,432.00",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Professional Services ","All Other Professional, Scientific, and Technical Services","Advertising, Entertainment, Media and Sports"
Company 1718,ENCINO,Los Angeles,91436,N,2,,0,0,0,up to $1M,Class 1,Consumer Products Retail and Apparel ,Cut and Sew Apparel Manufacturing (except Contractors),Consumer Products
Company 1719,Gardena,Los Angeles,90247,R,5,,"2,979,906.00","2,643,763.00","3,540,687.00",$1M to $10M,Class 2,Transportation ,"General Freight Trucking, Local",Transportation
Company 1720,Long Beach,Los Angeles,90807,N,1,,0,0,"100,000.00",up to $1M,Class 1,Financial Services Professional Services Technology ,Offices of Real Estate Agents and Brokers,Financial Services
Company 1721,Santa Monica,Los Angeles,90404,N,46,,"17,000,000.00","20,000,000.00","30,000,000.00",$10M to $50M,Class 3,"Advertising, Entertainment, Media and Sports ",Teleproduction and Other Postproduction Services,"Advertising, Entertainment, Media and Sports"
Company 1722,Los Angeles,Los Angeles,90049,N,30,,0,"1,400,000.00","5,600,000.00",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Food and Beverage Retail and Apparel ",Commercial Bakeries,"Advertising, Entertainment, Media and Sports"
Company 1723,Beverly Hills,Los Angeles,90211,L,5,,"1,333,183.00","2,064,042.00","2,440,177.00",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Financial Services Healthcare ",Limited-Service Restaurants,"Advertising, Entertainment, Media and Sports"
Company 1724,Santa Monica,Los Angeles,90402,I,2,,"1,061,063.00","1,135,296.00","1,235,445.00",$1M to $10M,Class 2,Consumer Products Food and Beverage Transportation ,Other Miscellaneous Nondurable Goods Merchant Wholesalers,Consumer Products
Company 1725,Santa Monica,Los Angeles,90401,N,1,,"185,216.00","247,358.00",,up to $1M,Class 1,Financial Services ,Lessors of Nonresidential Buildings (except Miniwarehouses),Financial Services
Company 1726,Chatsworth,Los Angeles,91367,R,33,,"109,390,661.00","105,177,380.00","85,077,885.00",over $50M,Class 4,Consumer Products ,Framing Contractors,Consumer Products
Company 1727,Los Angeles,Los Angeles,91345,R,1,,0,0,0,up to $1M,Class 1,Professional Services Technology ,Surveying and Mapping (except Geophysical) Services,Professional Services
Company 1728,signal hill,Los Angeles,90755,L,4,,"850,000.00","772,255.00","879,521.00",up to $1M,Class 1,Petrochemical and Energy Transportation Utilities ,Site Preparation Contractors,Petrochemical and Energy
Company 1729,Hollywood,Los Angeles,90028,N,1,,0,0,"15,656.00",up to $1M,Class 1,Consumer Products Food and Beverage Retail and Apparel ,Other Snack Food Manufacturing,Consumer Products
Company 1730,Glendale,Los Angeles,91204,R,2,,0,0,0,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Consumer Products Technology ",Motion Picture and Video Production,"Advertising, Entertainment, Media and Sports"
Company 1731,Cerritos,Los Angeles,90703,N,1,,0,"375,000.00","450,000.00",up to $1M,Class 1,Professional Services ,Educational Support Services,Professional Services
Company 1732,Inglewood,Los Angeles,90302,I,1,,600,"4,757.00","4,000.00",up to $1M,Class 1,Healthcare Manufacturing Suppliers Utilities ,Administrative Management and General Management Consulting Services,Healthcare
Company 1733,Azusa,Los Angeles,91702,N,1,,0,0,"100,000.00",up to $1M,Class 1,Utilities ,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",Utilities
Company 1734,Los Angeles,Los Angeles,90008,L,3,,0,60,40,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Retail and Apparel Technology ","Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers","Advertising, Entertainment, Media and Sports"
Company 1735,Montebello,Los Angeles,90640,N,10,,"10,441,845.00","21,657,030.00","29,161,101.00",$10M to $50M,Class 3,Consumer Products Manufacturing Suppliers ,Plastics Bag and Pouch Manufacturing,Consumer Products
Company 1736,Santa Monica,Los Angeles,90404,I,3750,,"740,916,000.00","859,859,000.00","929,984,000.00",over $50M,Class 4,Professional Services Technology ,Software Publishers,Professional Services
Company 1737,Tarzana,Los Angeles,91356,N,1,,"149,139.00","122,944.00","148,688.00",up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Consumer Products Professional Services ",Marketing Consulting Services,"Advertising, Entertainment, Media and Sports"
Company 1738,Encino ,Los Angeles,91326,N,1,,0,0,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Professional Services ",Administrative Management and General Management Consulting Services,"Advertising, Entertainment, Media and Sports"
Company 1739,South Pasadena,Los Angeles,91030,N,1,,0,0,0,up to $1M,Class 1,Automotive Healthcare Utilities ,Environmental Consulting Services,Automotive
Company 1740,Montebello,Los Angeles,90640,R,1,,0,0,0,up to $1M,Class 1,Retail and Apparel ,Clothing and Clothing Accessories Retailers,Retail and Apparel
Company 1741,Marina del Rey,Los Angeles,90292,N,1,,"350,000.00","400,000.00","495,000.00",up to $1M,Class 1,Professional Services ,Human Resources Consulting Services,Professional Services
Company 1742,Pasadena,Los Angeles,91105,R,3,,0,"51,000.00","395,000.00",up to $1M,Class 1,Healthcare Professional Services ,Offices of Physicians (except Mental Health Specialists),Healthcare
Company 1743,Los Angeles,Los Angeles,90021,N,1,,0,0,0,up to $1M,Class 1,Healthcare Professional Services Technology ,Other Computer Related Services,Healthcare
Company 1744,Inglewood,Los Angeles,90302,L,5,,0,"500,000.00","1,300,000.00",$1M to $10M,Class 2,Food and Beverage ,Full-Service Restaurants,Food and Beverage
Company 1745,Sherman Okas ,Los Angeles,91411,N,2,,"133,149.00","18,659.00",107,up to $1M,Class 1,Financial Services Healthcare Utilities ,Administrative Management and General Management Consulting Services,Financial Services
Company 1746,LOS ANGELES,Los Angeles,90045,N,18,,"28,473,904.00","34,298,212.00","50,269,264.00",over $50M,Class 4,"Advertising, Entertainment, Media and Sports ",Motion Picture and Video Production,"Advertising, Entertainment, Media and Sports"
Company 1747,PASADENA,Los Angeles,91107,L,15,,"1,100,000.00","830,325.00","800,500.00",up to $1M,Class 1,Professional Services ,Janitorial Services,Professional Services
Company 1748,Los Angeles,Los Angeles,90043,N,1,,"345,396.00","250,000.00","198,500.00",up to $1M,Class 1,Financial Services Healthcare Professional Services ,"All Other Professional, Scientific, and Technical Services",Financial Services
Company 1749,Los Angeles,Los Angeles,90019,N,1,,"185,000.00","100,000.00","125,000.00",up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Consumer Products Retail and Apparel ",Marketing Consulting Services,"Advertising, Entertainment, Media and Sports"
Company 1750,Los Angelees,Los Angeles,90026,I,3,,"840,854.00","1,084,660.00","3,131,060.15",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Financial Services Professional Services ",Teleproduction and Other Postproduction Services,"Advertising, Entertainment, Media and Sports"
Company 1751,Commerce,Los Angeles,90040,N,23,,"15,000,000.00","20,000,000.00","28,000,000.00",$10M to $50M,Class 3,Consumer Products ,Sporting and Recreational Goods and Supplies Merchant Wholesalers,Consumer Products
Company 1752,Pasadena,Los Angeles,91103,N,1,,0,0,0,up to $1M,Class 1,Consumer Products ,Food (Health) Supplement Retailers,Consumer Products
Company 1753,Whittier,Los Angeles,90604,R,3,,"6,000.00","177,058.00","491,671.00",up to $1M,Class 1,Professional Services ,"Plumbing, Heating, and Air-Conditioning Contractors",Professional Services
Company 1754,Los Angeles,Los Angeles,90017,L,28,,"33,769,000.00","19,157,052.00","29,733,670.00",$10M to $50M,Class 3,"Advertising, Entertainment, Media and Sports Healthcare Technology ","All Other Professional, Scientific, and Technical Services","Advertising, Entertainment, Media and Sports"
Company 1755,El Segundo,Los Angeles,90245,N,1,,"233,611.00","397,179.00","511,825.00",up to $1M,Class 1,Consumer Products Financial Services Utilities ,Human Resources Consulting Services,Consumer Products
